vin,timestamp,end_time,odo,end_odo,soc,end_soc,duration,avg_speed,event_id,event_emb_0,event_emb_1,charge_mode_emb_0,charge_mode_emb_1
2.0,4086.4,4086.65,16416.59375,16425.60938,69.8,67.8,15.0,36.06252000000677,1195,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4086.6666666666665,4093.483333333333,16425.60938,16425.60938,67.8,76.0,409.0,0.0,1196,-0.29202011227607727,-1.3963449001312256,1.6389106512069702,0.6988608241081238
2.0,4093.483333333333,4097.8,16425.60938,16718.0625,76.0,16.8,259.0,67.74975752895715,1197,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4097.833333333333,4098.35,16718.0625,16718.0625,16.8,46.2,31.0,0.0,1198,-0.29202011227607727,-1.3963449001312256,1.1969027519226074,-0.9354957938194275
2.0,4098.35,4099.216666666666,16718.0625,16761.57813,46.2,38.0,52.0,50.21034230769426,1199,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4099.233333333334,4100.166666666667,16761.57813,16761.57813,38.0,45.8,56.0,0.0,1200,-0.29202011227607727,-1.3963449001312256,1.5275136232376099,-0.6723349690437317
2.0,4100.166666666667,4102.35,16761.57813,16808.0,45.8,34.5,131.0,21.261925190838923,1201,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4102.366666666667,4102.9,16808.0,16808.0,34.5,63.5,32.0,0.0,1202,-0.29202011227607727,-1.3963449001312256,2.047060489654541,-1.6740423440933228
2.0,4102.9,4104.916666666667,16808.0,16865.96875,63.5,49.0,121.0,28.744834710743802,1203,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4104.95,4117.483333333334,16865.96875,16865.96875,49.0,63.1,752.0,0.0,1204,-0.29202011227607727,-1.3963449001312256,2.047060489654541,-1.6740423440933228
2.0,4117.483333333334,4119.783333333334,16865.96875,16955.26563,63.1,47.8,138.0,38.82473043478335,1205,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4119.8,4120.566666666667,16955.26563,16991.875,47.8,41.1,46.0,47.75135217391083,1206,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4120.683333333333,4120.783333333334,16991.875,16994.03125,41.1,41.1,6.0,21.5625,1207,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4120.8,4125.466666666666,16994.03125,16994.03125,41.1,45.8,280.0,0.0,1208,-0.29202011227607727,-1.3963449001312256,1.6389106512069702,0.6988608241081238
2.0,4125.466666666666,4129.55,16994.03125,17134.5,45.8,21.9,245.0,34.400510204081634,1209,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4129.566666666667,4130.083333333333,17134.5,17134.5,21.9,52.9,31.0,0.0,1210,-0.29202011227607727,-1.3963449001312256,1.1969027519226074,-0.9354957938194275
2.0,4130.083333333333,4130.6,17134.5,17152.5625,52.9,49.8,31.0,34.95967741935483,1211,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4130.616666666667,4141.5,17152.5625,17152.5625,49.8,62.7,653.0,0.0,1212,-0.29202011227607727,-1.3963449001312256,1.6389106512069702,0.6988608241081238
2.0,4141.5,4144.25,17152.5625,17288.15625,62.7,38.0,165.0,49.30681818181818,1213,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4144.25,4145.683333333333,17288.15625,17288.15625,38.0,39.2,86.0,0.0,1214,-0.29202011227607727,-1.3963449001312256,1.6389106512069702,0.6988608241081238
2.0,4145.683333333333,4146.666666666667,17288.15625,17331.73438,39.2,32.1,59.0,44.31674237288308,1215,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4147.25,4148.7,17331.73438,17412.17188,64.7,41.1,87.0,55.474137931034484,1216,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4148.966666666666,4153.583333333333,17412.17188,17574.85938,41.1,18.0,277.0,35.23916967509025,1217,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4153.6,4154.116666666667,17574.85938,17574.85938,18.0,47.4,31.0,0.0,1218,-0.29202011227607727,-1.3963449001312256,1.1969027519226074,-0.9354957938194275
2.0,4154.116666666667,4154.433333333333,17574.85938,17575.17188,47.4,47.4,19.0,0.986842105263158,1219,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4154.766666666666,4155.283333333334,17575.17188,17595.76563,46.6,43.5,31.0,39.85887096774193,1220,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
